Hôpital_ID,Nom_Hôpital,Capacité_Lits,Code Postal,Ville,Département,Région,Spécialités_Disponibles
9e287cc9-69ce-4f6f-a41e-3b26523715b9,Guillou S.A.R.L.,349,30476,Lesage-sur-Germain,Charente,Midi-Pyrénées,"Chirurgie, Cardiologie, Dermatologie"
37685866-9c61-425c-9957-d6c883154123,Léger Jacquot SA,206,89891,Ferreiradan,Hautes-Alpes,Nouvelle-Calédonie,"Urgences, Dermatologie, Cardiologie"
1f028952-4871-47d6-b29f-f5695bf91e9b,Boutin,278,48726,Sainte GrégoireVille,Alpes-Maritimes,Île-de-France,"Chirurgie, Dermatologie, Cardiologie"
f8e6f7c5-6ee7-424b-9a0a-fc20f8d5162a,Guibert S.A.R.L.,221,14560,Collin,Alpes-de-Haute-Provence,Province-Alpes-Côte d'Azur,"Urgences, Dermatologie, Chirurgie"
729ecbf8-1dc4-4627-9de1-636cc7edbdb7,Perez SA,335,91544,Laroche,Aveyron,Aquitaine,"Cardiologie, Urgences, Pédiatrie"
7d8a60db-d07c-49cd-a53b-69c71108f841,Millet S.A.R.L.,341,14685,Sainte MargauxBourg,Cantal,Île-de-France,"Dermatologie, Chirurgie, Pédiatrie"
d43a5f1f-a7ee-4476-b229-12a556d26e97,Dumas SARL,133,55320,Sainte Anaïs,Eure,Martinique,"Dermatologie, Urgences, Pédiatrie"
48af7aed-8967-4a78-8629-a49396ed366f,Blanchet,115,62606,PaulVille,Aveyron,Basse-Normandie,"Chirurgie, Dermatologie, Pédiatrie"
e7309397-6be1-44fb-9902-1b6eecf07686,Regnier,319,25692,Gauthier-sur-Maréchal,Eure,Limousin,"Urgences, Pédiatrie, Cardiologie"
1de8311f-5399-49a9-8a9b-b6e91fba7fff,Turpin,266,84964,Legendre,Marne,Saint-Martin,"Urgences, Dermatologie, Cardiologie"
c0031aba-ee42-43b0-8a88-267a093bb584,Lelièvre SARL,443,73875,Sainte Adrienne,Côtes-d'Armor,Poitou-Charentes,"Cardiologie, Dermatologie, Chirurgie"
c507a619-fb9a-4b13-8aad-ce8ff40f91d9,Faure Bouvier S.A.,394,96174,Saint Margaret,Ariège,Mayotte,"Pédiatrie, Urgences, Cardiologie"
b3f1d9ad-bec5-4c7f-90e9-589b6715603c,Guibert S.A.R.L.,353,09434,GiraudVille,Ariège,Limousin,"Chirurgie, Urgences, Dermatologie"
e1b4f15a-023d-40ce-a1b7-69c484443d36,Lefèvre,87,00565,Cordier,Seine-et-Marne,Guyane,"Cardiologie, Urgences, Pédiatrie"
81d7d7ad-993a-4526-8960-76c52725f0d6,Garcia Besnard SA,55,28289,Lemaire,Paris,Basse-Normandie,"Pédiatrie, Cardiologie, Chirurgie"
105d9620-9c94-4a00-95b6-5530fefc938e,Grenier,259,31269,Saint Élise,Lot-et-Garonne,Bretagne,"Pédiatrie, Urgences, Cardiologie"
128e24f0-fbe5-4e3a-bc86-8581d72d8b70,Mace Ruiz et Fils,480,53077,Duval-sur-Besnard,Yonne,Lorraine,"Chirurgie, Cardiologie, Pédiatrie"
601d776e-3cb3-4b28-a230-0d2e8f292946,Nicolas S.A.S.,430,56503,Pineau-sur-Hamon,Maine-et-Loire,Midi-Pyrénées,"Pédiatrie, Chirurgie, Dermatologie"
f6485aa0-a1c1-4775-aaa9-e0027532558e,Gaudin,75,05735,Marchal,Oise,Réunion,"Pédiatrie, Urgences, Cardiologie"
1c94123f-481b-4ba3-8a7b-f2aa4ab24775,Pons SARL,124,87576,Collin-les-Bains,Hérault,Lorraine,"Pédiatrie, Chirurgie, Cardiologie"
138bf3d6-39a2-4e7c-8d05-6bfee8ff3d88,Lejeune Cordier S.A.R.L.,151,91932,Barbe,Tarn-et-Garonne,Lorraine,"Chirurgie, Urgences, Cardiologie"
43853aec-6462-40ae-8c23-d26a5bd7d12e,Petitjean SARL,277,81296,Guillou,Seine-Saint-Denis,Languedoc-Roussillon,"Cardiologie, Dermatologie, Urgences"
e7d72a62-503b-48f1-a54d-a43e6028038c,Dijoux,178,16212,PierreVille,Hérault,Auvergne,"Pédiatrie, Urgences, Dermatologie"
6b3a5b23-e89e-4bf5-95d7-0a7cc02518ac,Prévost S.A.R.L.,353,87351,Roux-sur-Mer,Cher,Saint-Pierre-et-Miquelon,"Cardiologie, Pédiatrie, Chirurgie"
5b4c50de-2be8-44bf-808a-2451143ecf4b,Hamon et Fils,105,20714,BaronBourg,La Réunion,Auvergne,"Pédiatrie, Dermatologie, Chirurgie"
8021e92e-9d71-4a57-8396-9158514ec2f6,Payet,121,68904,Saint Susanne,Var,Aquitaine,"Pédiatrie, Cardiologie, Dermatologie"
7d3bed58-a65f-413f-a13a-6cfa80389520,Lopes,54,40986,Joubert-les-Bains,Indre,Nouvelle-Calédonie,"Chirurgie, Dermatologie, Pédiatrie"
5572e567-7ccc-4e13-872c-154c98ab1378,Guillon,308,31471,Prévostboeuf,Calvados,Midi-Pyrénées,"Chirurgie, Urgences, Dermatologie"
99111f51-f175-48ab-bb0b-7d7f4f6b59e6,Le Gall,128,95697,Thomas,Yonne,Nord-Pas-de-Calais,"Cardiologie, Urgences, Pédiatrie"
c906ad50-8328-4862-a331-ce71fdb1e884,Cordier SARL,217,42271,Godard,Meuse,Poitou-Charentes,"Dermatologie, Pédiatrie, Cardiologie"
ebcdc76f-f9c2-4a64-9b6b-3538f9aab115,Jacquet,422,03278,Blanchard-sur-Guillon,Nord,Wallis-et-Futuna,"Chirurgie, Cardiologie, Dermatologie"
680770a1-ac27-47f8-ae9c-7a5d9841f4f3,Lenoir et Fils,365,34400,Peltier,Finistère,Province-Alpes-Côte d'Azur,"Dermatologie, Chirurgie, Cardiologie"
d5a2e245-3397-4415-bdd2-00476af9265e,Buisson SARL,482,13122,MorelVille,Corrèze,Province-Alpes-Côte d'Azur,"Cardiologie, Chirurgie, Dermatologie"
fd6856f9-abe8-413a-89c5-b5f25bdd485f,Barbier,470,39327,Lombard-les-Bains,Creuse,Franche-Comté,"Chirurgie, Dermatologie, Urgences"
48522282-b9fe-4497-9c32-5380e519d410,Cousin Parent SARL,291,35351,Gilbertboeuf,Haute-Savoie,Languedoc-Roussillon,"Chirurgie, Cardiologie, Dermatologie"
a8bd271d-2ec5-4367-be82-ac4651ae0b52,Salmon,254,11674,Hubert,Rhône,Nouvelle-Calédonie,"Chirurgie, Dermatologie, Pédiatrie"
dfb48fbd-03c8-4a9d-937d-96d725caadd1,David S.A.R.L.,284,40071,Henry,Orne,Bourgogne,"Urgences, Pédiatrie, Cardiologie"
fd990222-da0a-4b57-8200-77e203d1e98c,Guibert S.A.,405,61595,Pelletier,Loire,Picardie,"Pédiatrie, Cardiologie, Dermatologie"
cefcf59c-e08f-4c3f-951f-ed1e65e6d9eb,Fournier Briand et Fils,63,63581,Saint InèsVille,Haute-Corse,Wallis-et-Futuna,"Urgences, Chirurgie, Dermatologie"
8c6de598-c0f2-490c-b8e7-659ecdcced7c,Dias Allain et Fils,415,46567,Saint Auguste,Corrèze,Nouvelle-Calédonie,"Pédiatrie, Chirurgie, Dermatologie"
084db1a6-ef6c-4a52-8876-b56aa36c92d5,Duval Roussel SARL,290,35492,Thibault,Manche,Nouvelle-Calédonie,"Chirurgie, Pédiatrie, Dermatologie"
e9239721-3286-40a7-b9e1-5966da0ed280,Bonnin SARL,416,36207,LeleuVille,Ain,Guadeloupe,"Dermatologie, Chirurgie, Cardiologie"
4c99277f-1124-4d26-a5ea-6e129d07b0c1,Bègue Girard et Fils,411,02529,Duvaldan,Aveyron,Mayotte,"Dermatologie, Chirurgie, Cardiologie"
6d03d01f-e2f1-4cfa-9104-a51d2b0ffcb3,Courtois,183,94009,Bodinboeuf,Loire-Atlantique,Bourgogne,"Urgences, Chirurgie, Cardiologie"
ec936223-4e6f-42a0-8f59-00624f98a9b8,Marty SA,196,73142,Blanchard,Allier,Saint-Martin,"Pédiatrie, Urgences, Cardiologie"
cb1c07bc-6d06-42cd-b029-31c774d2823e,Aubert Richard S.A.,297,23015,Leclercq-sur-Michel,Lot-et-Garonne,Mayotte,"Chirurgie, Cardiologie, Dermatologie"
7c34be0b-7a11-4734-9379-4ca3db844231,Wagner SARL,136,54652,Sainte Constanceboeuf,Dordogne,Saint-Pierre-et-Miquelon,"Cardiologie, Chirurgie, Dermatologie"
d269d84b-855b-4d43-8c89-fddb67c7d5ff,Vaillant,189,03659,Hervéboeuf,Meuse,Île-de-France,"Chirurgie, Urgences, Dermatologie"
dbbb7bdf-a1ee-4733-9f80-06ba018f2898,Gaillard S.A.R.L.,71,21953,Lesage,Côte-d'Or,Franche-Comté,"Urgences, Cardiologie, Pédiatrie"
309dceaf-0c08-47c2-8986-8e1d0c7b8b31,Le Gall,62,73500,Saint DeniseVille,Mayotte,Guyane,"Urgences, Chirurgie, Dermatologie"
2a9ef1db-d13b-4a92-9348-8658c2b7cbd0,Lebon SA,213,41689,Garcianec,Saône-et-Loire,Basse-Normandie,"Pédiatrie, Cardiologie, Chirurgie"
ec0d4b18-fdee-40ca-8b1c-1fff30c03b03,Rodrigues,254,75082,Reynaud-sur-Vincent,Savoie,Pays-de-Loire,"Chirurgie, Dermatologie, Pédiatrie"
9fae3412-0bbe-43cc-bba9-9a21036a90c3,Dupré S.A.S.,339,06106,Hoarau,Hérault,Bretagne,"Cardiologie, Pédiatrie, Dermatologie"
a59770bd-4f4f-4f7a-8bec-313dcdeef899,Voisin SARL,255,05780,Sainte Xavier-sur-Mer,Cantal,Champagne-Ardenne,"Cardiologie, Dermatologie, Chirurgie"
f3069966-348d-45f9-a1ef-7a6d20bb5d23,Peron Lagarde S.A.R.L.,425,49278,Saint Aiméedan,Aude,Réunion,"Cardiologie, Dermatologie, Urgences"
9c6de81c-57a1-4cb8-b8f9-f48d63c32d5e,Peltier,176,92359,Charpentier-sur-Humbert,Cantal,Martinique,"Cardiologie, Urgences, Chirurgie"
7485c919-1ae4-4435-b052-92b33677649c,Godard,98,48874,Bailly,Hauts-de-Seine,Centre,"Dermatologie, Pédiatrie, Chirurgie"
525e91bd-ddae-46ea-badf-18f458271ef0,Perret Verdier SARL,380,04612,Briand-sur-Mer,Tarn-et-Garonne,Saint-Pierre-et-Miquelon,"Cardiologie, Pédiatrie, Chirurgie"
3427879c-d619-457f-951c-64654d15884b,Daniel Guillon et Fils,186,87615,Sainte Pénélope,Martinique,Wallis-et-Futuna,"Chirurgie, Pédiatrie, Dermatologie"
7cc53291-40bd-43c0-bc2c-c8cb06d68cfe,Boucher,495,43993,François,Pas-de-Calais,Alsace,"Urgences, Dermatologie, Cardiologie"
f37064ae-b3f6-4959-ba1c-47a35d83e052,Renard,82,48835,BouvierBourg,Ardennes,Aquitaine,"Urgences, Pédiatrie, Dermatologie"
ee104727-a152-453b-b112-f44cea5ac5f9,Da Costa Blanc S.A.R.L.,492,79903,Malletnec,Var,Rhone-Alpes,"Pédiatrie, Dermatologie, Cardiologie"
9be87397-9c9b-4b7f-981a-21f5b5dbf1d9,Traore Pineau SARL,374,06793,Saint Margotnec,Vendée,Île-de-France,"Cardiologie, Dermatologie, Pédiatrie"
ace72148-3e69-40f8-98d1-94aa629079ab,Guillou Guillou et Fils,448,11957,HubertVille,Pas-de-Calais,Bourgogne,"Chirurgie, Urgences, Dermatologie"
6013d828-3986-431d-9fd9-cc6faf715ba3,Marin,123,13333,Roussel,Seine-et-Marne,Bourgogne,"Cardiologie, Chirurgie, Dermatologie"
c03b67ae-1484-4e5c-889e-e5dd7544c9a9,Valentin SA,233,18049,Regnier,Haut-Rhin,Centre,"Cardiologie, Dermatologie, Pédiatrie"
a8d5fde1-6f7e-4032-a043-218b5caf93ef,Seguin Colin S.A.S.,396,75192,Guillot-sur-Vallée,Hauts-de-Seine,Saint-Pierre-et-Miquelon,"Urgences, Cardiologie, Dermatologie"
2219ba60-c54e-43ac-ba7b-6a199ab2f5bf,Legros et Fils,101,20192,Gaillard,Indre,Haute-Normandie,"Cardiologie, Chirurgie, Urgences"
